,history,response,speaker,knowledge_base,dialogue_id,corrupted_response,corrupt_entity,original_entity,hallucination_tags,corrupt_relation,corrupt_history
1306,['Do you think Justin Bieber is really talented ?'],"  Well , I think he use too when he was younger . Do you he starred in Men in Black 3 ?",assistant,"{'paths': [['Justin Bieber', '~starred_actors', 'Men in Black 3']], 'render': 'Justin Bieber starred in Men in Black 3'}",5566,"  well , i think he use too when he was younger . do you he starred in the velveteen rabbit ?",['The Velveteen Rabbit'],['Men in Black 3'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O']",['Sequel'],['Do you think Justin Bieber is really talented ?']
21758,['Could you recommend any movies that Guillermo del Toro directed ? I really like his work .'],Excellent choice ! He wrote Pan 's Labyrinth and   Do n't Be Afraid of the Dark . He always creates an amazing atmosphere in his movies . Care to watch it ?,assistant,"{'paths': [['Guillermo del Toro', '~written_by', ""Pan's Labyrinth""], [""Pan's Labyrinth"", 'starred_actors', 'Álex Angulo']], 'render': ""Guillermo del Toro wrote Pan's Labyrinth. Pan's Labyrinth is starring Álex Angulo""}",4334,excellent choice ! he wrote pan 's labyrinth and   do n't be afraid of the dark . he always creates an amazing atmosphere in his movies . care to watch it ?,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[],
6997,"['I would like to know more about Ray Bradbury work ?', 'He wrote the Martian Chronicles , Something Wicked this way comes , and The illustrated man', ""Can you tell me more about Martian Chronciles like it 's genre please ?"", 'Sure . It is a television miniseries , and its science fiction']",Okay great I enjoy science fiction .,user,"{'paths': [['The Martian Chronicles', 'has_genre', 'Science Fiction']], 'render': 'The Martian Chronicles has genre Science Fiction'}",4344,okay great i enjoy the chronicles of riddick .,['The Chronicles of Riddick'],['Science Fiction'],"['O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O']",['has_genre'],
10337,"['Would you recommend The Princess Diaries ?', ""Absolutely ! !   It 's a great comedy ! ! Your family would love it .   It was produced by disney ."", 'Ok , do you know any good romance films ?']",I would recommend What 's Eating Gilbert Grape   produced by Meir Teper .   It was released 1991 .,assistant,"{'paths': [[""What's Eating Gilbert Grape"", 'release_year', '1991']], 'render': ""What's Eating Gilbert Grape was released 1991""}",4315,i would recommend what 's eating gilbert grape   produced by meir teper .   it was released we were soldiers once... and young: ia drang - the battle that changed the war in vietnam .,['We Were Soldiers Once... and Young: Ia Drang - the Battle That Changed the War in Vietnam'],['1991'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O']",['release_year'],"['Would you recommend The Princess Diaries ?', ""Absolutely ! !   It 's a great comedy ! ! Your family would love it .   It was produced by disney ."", 'Ok , do you know any good romance films ?']"
1710,"['I like Chris Weitz . What can you tell me about him ?', 'Have you seen American Pie ?   He was in that .   He also wrote The Golden Compass .', ""I have seen that . Was n't there a sequel about a wedding ?""]","Yes , you are thinking of America Wedding which was released in 2003 .",assistant,"{'paths': [['American Wedding', 'release_year', '2003']], 'render': 'American Wedding was released 2003'}",4214,"yes , you are thinking of the same year , 1943 wedding which was released in c.f .","['the same year , 1943', 'C.F']","['America', '2003']","['O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O']",,
3800,"['What do you know about Demi Lovato ?', ""She sung Give Your Heart a Break and Why Do n't You Love Me .   Have you heard of those songs ?"", 'Yes I have . Did you know she began her career in Dallas and was on the show The X Factor ?', ""Yes I did .   She 's actually been on a few shows .   She was on Glee and Camp Rock"", ""Did n't Camp Rock have Nick Jonas in it as well ?""]",Yes he was on Camp Rock .   Joe Jonas was also on there .,assistant,"{'paths': [['Nick Jonas', '~Member of', 'Nick Jonas'], ['Nick Jonas', '~starred_actors', 'Camp Rock']], 'render': 'Nick Jonas : `~Member of`: Nick Jonas. Nick Jonas starred in Camp Rock'}",4424,yes he was on the golden state warriors .   story was also on there .,"['Story', 'The Golden State Warriors']","['Camp Rock', 'Joe Jonas']","['O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O']",,
9378,"['Do you like the Batman movies ?', 'Not really was Catwoman part of that ?', ""She is associated with Batman and also had her own comic series . The movie ' Catwomen ' starred Frances Conroy and Christopher Heyerdahl ."", '  W hen was that movie released by the way ?', 'It was released in 2004 .']",Thank you for that information . Have you seen Waking Madison ?,assistant,"{'paths': [['Frances Conroy', '~starred_actors', 'Waking Madison']], 'render': 'Frances Conroy starred in Waking Madison'}",5440,thank you for that information . have you seen frances conroy ?,['Frances Conroy'],['Waking Madison'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O']",['starred_actors'],
6035,"['Could you recommend work by Cheryl Strayed ?', 'Wild : From Lost to Found on the Pacific Crest Trail']",Was n't that made into a movie with Reese Witherspoon ? Has Cheryl Strayed written anything else ?,user,"{'paths': [['Wild: From Lost to Found on the Pacific Crest Trail', 'written_by', 'Cheryl Strayed']], 'render': 'Wild: From Lost to Found on the Pacific Crest Trail is written by Cheryl Strayed'}",4842,was n't that made into a movie with reese witherspoon ? has united states of america written anything else ?,['United States of America'],['Cheryl Strayed'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O']",['Country of nationality'],
18543,"['Do you have any information about the book The Chronicles of Narnia ?', ""That 's one of my favorites . Would you refer to the author C.S. Lewis ? Or Pauline Baynes ?"", ""I enjoy books from C.S. Lewis . Could you recommend something he 's written ?""]",I believe Prince Caspian would be perfect for you . Did you know that it was released in the year 1951 ?,assistant,"{'paths': [['Prince Caspian: The Return to Narnia', 'written_by', 'C.S. Lewis']], 'render': 'Prince Caspian: The Return to Narnia is written by C.S. Lewis'}",4309,i believe prince caspian would be perfect for you . did you know that it was released in the year 1951 ?,[],[],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[],
6161,"['Do you know anything about the book , Fallen ?']","The title Fallen has been used be a few authors . For example , Karin Slaughter published a fiction book in 2011 with that title .",assistant,"{'paths': [['Fallen', 'has_genre', 'Fiction']], 'render': 'Fallen has genre Fiction'}",4951,"the title fallen has been used be a few authors . for example , karin slaughter published a harry potter and the order of the phoenix (fantasy adventure film) book in 2011 with that title .",['Harry Potter and the Order of the Phoenix (Fantasy Adventure Film)'],['Fiction'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['has_genre'],
7017,"[""Do you have any movie recommendations similar to Schindler 's List ?""]",Schindlers list was produced by Steven Spielber .   So if you like him he also produced Saving Private Ryan .   They are both war films .,assistant,"{'paths': [[""Schindler's List"", 'Produced by', 'Steven Spielberg'], ['Steven Spielberg', '~Produced by', 'Saving Private Ryan']], 'render': ""Schindler's List is produced by Steven Spielberg. Steven Spielberg produced Saving Private Ryan""}",4359,schindlers list was produced by steven spielber .   so if you like him he also produced action .   they are both war films .,['Action'],['Saving Private Ryan'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['has_genre'],
12441,"['I like getting lost in movies , can you tell me more about the movie , Jumper , please .', 'it is written by steven gould']","Steven Gould , he sounds familiar . Has he written anything else ? Is Kristen Stewart in the movie Jumper ?",user,"{'paths': [['Steven Gould', '~written_by', 'Jumper']], 'render': 'Steven Gould wrote Jumper'}",5033,"frog , he sounds familiar . has he written anything else ? is eraserhead in the movie rob reiner ?","['Frog', 'Eraserhead', 'Rob Reiner']","['Kristen Stewart', 'Steven Gould', 'Jumper']","['U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O']",['is-a'],"['I like getting lost in movies , can you tell me more about the movie , Jumper , please .', 'it is written by steven gould']"
6651,"['Do you have a movie with the actor Yaphet Kotto in it ?', 'Sure . He starred in Witless Protection and Two if by Sea']",Can you tell me a little more about Two If By Sea ? Is that the one starring Jonathan Tucker ?,user,"{'paths': [['Two If by Sea', 'starred_actors', 'Yaphet Kotto']], 'render': 'Two If by Sea is starring Yaphet Kotto'}",5307,can you tell me a little more about denis leary ? is that the one starring jonathan tucker ?,['Denis Leary'],['Two If by Sea'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['starred_actors'],
1080,['Could you recommnd anything by Ann Brashares ?'],Certainly ! Ann Brashares wrote The Sisterhood of the Traveling Pants . That may be one of her best known works because it was also a popular film . Have you seen it ?,assistant,"{'paths': [['Ann Brashares', '~written_by', 'The Sisterhood of the Traveling Pants']], 'render': 'Ann Brashares wrote The Sisterhood of the Traveling Pants'}",5292,certainly ! ann brashares wrote dallas buyers club . that may be one of her best known works because it was also a popular film . have you seen it ?,['Dallas Buyers Club'],['The Sisterhood of the Traveling Pants'],"['O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['Part of series'],['Could you recommnd anything by Ann Brashares ?']
9744,['Do you know who starred in Gone with the Wind ?'],"Yes , it starred Thomas Mitchell , Hattie McDaniel , and George Reeves .",assistant,"{'paths': [['Gone with the Wind', 'starred_actors', 'Thomas Mitchell']], 'render': 'Gone with the Wind is starring Thomas Mitchell'}",5936,"yes , it starred gone with the wind , hattie mcdaniel , and george reeves .",['Gone with the Wind'],['Thomas Mitchell'],"['O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['is-a'],
9300,"['Can you recommend authors related to Art Spiegelman ?', 'Spiegelman was influenced by Maurice Sendak who wrote Where the Wild Things Are .   Do you like that book ?', 'I love that book ! Do you know any other books she wrote ?']","That 's a favorite of many kids .   He also wrote Little Bear and did a lot of illustration work , too .",assistant,"{'paths': [['Little Bear', 'written_by', 'Maurice Sendak'], ['Maurice Sendak', '~written_by', ""Little Bear's Friend""]], 'render': ""Little Bear is written by Maurice Sendak. Maurice Sendak wrote Little Bear's Friend""}",5323,"that 's a favorite of many kids .   he also wrote maurice sendak and did a lot of illustration work , too .",['Maurice Sendak'],['Little Bear'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['TV program produced'],
4378,"['I like war movies , Tell me about the Deer Hunter please']","Sure , Deer Hunter is written by Quinn K. Redeker . There is also a movie by Michael Cimino starring Robert De Niro .",assistant,"{'paths': [['The Deer Hunter', 'written_by', 'Quinn K. Redeker']], 'render': 'The Deer Hunter is written by Quinn K. Redeker'}",4742,"sure , dystopian is written by romeo + juliet . there is also a movie by american starring diablo coty .","['Dystopian', 'Romeo + Juliet', 'American', 'Diablo Coty']","['Deer Hunter', 'Quinn K. Redeker', 'Robert De Niro', 'Michael Cimino']","['O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'B-HALLUC', 'L-HALLUC', 'O']",,
12944,['Do you know anything about the author Junot Diaz ?'],I know that he wrote This is How You Lose Her . He was born in Dominican Republic and Dominican / American .,assistant,"{'paths': [['Junot Díaz', '~written_by', 'This is How You Lose Her']], 'render': 'Junot Díaz wrote This is How You Lose Her'}",5866,i know that he wrote this is how you lose her . he was born in titans and dominican / american .,['Titans'],['Dominican Republic'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O']",['release_year'],['Do you know anything about the author Junot Diaz ?']
12618,"['could you recommend any movies like ultron : dawn of van morrison ?', 'Did you enjoy that movie because it starred Henry Cavill or because it was a Sci - Fi movie ?']","I really enjoy Sci - Fi movies . I loved Zombieland , for example .",user,"{'paths': [['Sci-Fi', '~has_genre', 'Zombieland']], 'render': 'Sci-Fi has examples: Zombieland'}",5330,"i really enjoy switzerland movies . i loved sarah waters , for example .","['Sarah Waters', 'Switzerland']","['Zombieland', 'Sci - Fi']","['O', 'O', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O']",['Sequel'],"['could you recommend any movies like ultron : dawn of van morrison ?', 'Did you enjoy that movie because it starred Henry Cavill or because it was a Sci - Fi movie ?']"
5837,"['Do you know any good books by S.E. Hinton ?', 'Yes , S. E. Hinton wrote The Outsiders , Rumble Fish , and That was Then , This is Now . Do you like young - adult fiction ?', 'I enjoyed the The Outsiders .   Is that part of a series though ?']","Hmmm , I 'm not sure , but it was released in 1967 .",assistant,"{'paths': [['1967', '~release_year', 'The Outsiders']], 'render': '1967 was the year that released The Outsiders'}",4705,"hmmm , i 'm not sure , but it was released in from the mixed-up files of mrs. basil e. frankweiler .",['From the Mixed-Up Files of Mrs. Basil E. Frankweiler'],['1967'],"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O']",['release_year'],
22349,"[""Do you like Lewis Carrol 's works ?"", ""I love them ! Some of his best works are Alice 's Adventures in Wonderland and Through the Looking Glass . Have you read them ?""]",I have read Alice 's Adventures in Wonderland but not Through the Looking Glass . Did you know that Gene Wolfe was a major influence for Mr. Carroll ?,user,"{'paths': [['Through the Looking-Glass, and What Alice Found There', 'written_by', 'Lewis Carroll'], ['Lewis Carroll', '~Influenced By', 'Gene Wolfe']], 'render': 'Through the Looking-Glass, and What Alice Found There is written by Lewis Carroll. Lewis Carroll : `~Influenced By`: Gene Wolfe'}",4452,i have read alice 's adventures in wonderland but not through the looking glass . did you know that gene wolfe was a major influence for mr. carroll ?,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['is-a'],
6691,"['Could you recommend any movies like Batman V Superman : Dawn of Justice ?', 'Did you enjoy that movie because it starred Henry Cavill or because it was a Sci - Fi movie ?', 'I really enjoy Sci - Fi movies . I loved Zombieland , for example .']","You may enjoy The Crazies or Shaun of the Dead , have you seen either of these ?",assistant,"{'paths': [['Zombieland', 'has_genre', 'Zombie Film'], ['Zombie Film', '~has_genre', 'Shaun of the Dead']], 'render': 'Zombieland has genre Zombie Film. Zombie Film has examples: Shaun of the Dead'}",5330,"you may enjoy the crazies or three flavours cornetto trilogy , have you seen either of these ?",['Three Flavours Cornetto trilogy'],['Shaun of the Dead'],"['O', 'O', 'O', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['Film Series'],
1785,['Can you recommend any books similar to O Alquimista ?'],The author Paulo Coelho also wrote the book Brida,assistant,"{'paths': [['O Alquimista', 'written_by', 'Paulo Coelho'], ['Paulo Coelho', '~written_by', 'Brida']], 'render': 'O Alquimista is written by Paulo Coelho. Paulo Coelho wrote Brida'}",4326,the author the legend of korra also wrote the book tim firth,"['The Legend of Korra', 'Tim Firth']","['Brida', 'Paulo Coelho']","['O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'B-HALLUC', 'L-HALLUC']",,
13540,['could you advise who wrote the fountainhead ?'],"Two names come to mind , Leonard Peikoff and Ayn Rand . Do you know Ayn Rand ?",assistant,"{'paths': [['The Fountainhead', 'written_by', 'Ayn Rand']], 'render': 'The Fountainhead is written by Ayn Rand'}",6772,"jim uhris names come to mind , fantasy and stockport . do you know stockport ?","['Stockport', 'Jim Uhris', 'Fantasy']","['Leonard Peikoff', 'Ayn Rand', 'Two']","['B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'U-HALLUC', 'O', 'U-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O']",['written_by'],['could you advise who wrote the fountainhead ?']
13464,"['Do you know the book A Tale of Two Cities ?', 'who is it written by ?']","Yes , A Tale of Two Cities was written by Richard Maxwell . It is a historical novel but fiction .",assistant,"{'paths': [['A Tale of Two Cities', 'written_by', 'Richard Maxwell']], 'render': 'A Tale of Two Cities is written by Richard Maxwell'}",6657,"yes , ben schwartz was written by the best of everything . it is a historical novel but fiction .","['The Best of Everything', 'Ben Schwartz']","['A Tale of Two Cities', 'Richard Maxwell']","['O', 'O', 'B-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'B-HALLUC', 'I-HALLUC', 'I-HALLUC', 'L-HALLUC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",['Country of nationality'],"['Do you know the book A Tale of Two Cities ?', 'who is it written by ?']"
